INM Operator User IDs,INM Brief Description
LMOHDTAJ,C.DPS.MY.CCO.SH.WIN.SEC / SHELL / Shell Deutschland Oil / dcpoml21597588 / amsdc1-s-90814 - ASIA-PAC\R.Itigi-B added to group:BUILTIN\Administrators by user:SHELL\v.muthuramalingam-A 1/31/2018 4:06:45 PM GMT
FKAMAROL,C.DPS.MY.CCO.SH.WIN.SEC / SHELL / Shell Deutschland Oil / dcpoml21597588 / amsdc1-s-45136 - ASIA-PAC\R.Itigi-B added to group:BUILTIN\Administrators by user:SHELL\v.muthuramalingam-A 1/31/2018 4:06:40 PM GMT
FKAMAROL,C.DPS.MY.CCO.SH.WIN.SEC / SHELL / Shell Deutschland Oil / dcpoml21597588 / amsdc1-s-90813 - ASIA-PAC\R.Itigi-B added to group:BUILTIN\Administrators by user:SHELL\v.muthuramalingam-A 1/31/2018 4:07:01 PM GMT
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / kaimskrmgw2 - EventID: 0x825A0032 (50) - The time service detected a time difference of greater than 5000 milliseconds  for 900 seconds. The time difference might be caused by synchronization with  low-accuracy time sources or by suboptimal network conditions. The t...
FKAMAROL,C.DPS.MY.CCO.SH.WIN.SEC / SHELL / Shell Deutschland Oil / dcpoml21597588 / amsdc1-s-45124 - ASIA-PAC\R.Itigi-B added to group:BUILTIN\Administrators by user:SHELL\v.muthuramalingam-A 1/31/2018 4:06:48 PM GMT
MSHAIFUL,C.DPS.MY.DCO.DSO.VSO-WIN-EVT / SHELL / Shell Deutschland Oil / dcpoml20913481 / muntse-s-09848 - Error:;nlrba site SSL certificate valid until 2018/02/22;EventID;10017;ScriptVersion;1.5 [Shell IISCertExp]
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / omldepmuc01 / eudmssqlapp302 - Network Collisions on the following adapters found: Intel(R) Gigabit 4P I350-t rNDC
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / omldepmuc01 / eudmsdt02 - Network Collisions on the following adapters found: Intel(R) Gigabit 4P I350-t rNDC #4
MALIMUDI,C.DPS.MY.CCO.SH.LUX.EVT / T-SYSTEMS INTERNATIONAL GMBH8108 (0000008108) / omlusphou01 / scz-n-b00101 - CPU utilization (99.99%) exceeds configured threshold (98.00%).
MALIMUDI,C.DPS.MY.CCO.SH.LUX.EVT / T-SYSTEMS INTERNATIONAL GMBH8108 (0000008108) / omlnlpams01 / amsdc1-u-s00033 - CPU utilization (99.99%) exceeds configured threshold (98.00%).
MALIMUDI,C.DPS.MY.CCO.SH.LUX.EVT / T-SYSTEMS INTERNATIONAL GMBH8108 (0000008108) / omlnlpams01 / amsd2a-u-s00012 - CPU utilization (99.96%) exceeds configured threshold (98.00%).
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / mko0360a - Performance Agent processes not running correctly.
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / keasos011 - MS eventlog alert:  Log name System - Source : TSIMonitoring - event ID 102 - description: Computer was not able to set up a secure session to a domain controller (Event 5719)
MALIMUDI,C.APAC.MY.LUX.EVT / ZUELLIG PHARMA ASIA PACIFIC (0018000925) / omlsgpsin01 / SGISGZOLMAL07 - Alarm 'Virtual machine CPU usage' on SGISGZOLMAL07 changed from Green to Red
FKAMAROL,"C.DPS.MY.CCO.VSO.WIN.EVT / SHELL / Shell Deutschland Oil / dcpoml20913481 / muntse-s-71080 - Services: ""Windows Time"" is not running"
ASGOMEZ,C.APAC.MY.WIN.EVT / ZUELLIG PHARMA ASIA PACIFIC (0018000925) / omlsgpsin01 / sgisgofs04 - Healthcheck Failure: The message flow is broken for the last 10 min from the following node(s): sgisgofs04
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / kzamssos001 - onsec - failed logins for admin account: The description for Event ID ( 5 ) in Source ( HP Ethernet ) could not be found. It contains the following insertion string(s): An Ethernet team's redundancy status changed to Redundancy Lost. All members of an ...
MAKARUPP, EPCOS | Transport Request to ER3/100 -  WG: 3000000557 was set to 54:Released-Waiting Import Ex3
FKAMAROL,C.DPS.MY.DCO.DSO.VSO-WIN-EVT / SHELL / Shell Deutschland Oil / dcpoml21597588 / amsdc1-s-42155 - Error:;SSP_Site site SSL certificate valid until ;EventID;10017;ScriptVersion;1.5 [Shell IISCertExp]
ASGOMEZ,P3 MED / SIN / ZP / XS2HA013WIN / zp_win_mo3_memory_usage
FKAMAROL,C.DPS.MY.CCO.VSO.WIN.EVT / SHELL / Shell Deutschland Oil / dcpoml21597588 / ams1-s-06007 - Logical Disk Space C: is over 90% FULL or it has less than 4096 MB free. Free space GB is 4.040
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / omlsgpsin01 / eapmssqlk243 - Memory utilization (97.42%) exceeds configured threshold (95.00%).
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / mko0360a - Performance Agent processes not running correctly.
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / mkokonect1 - Memory utilization (95.95%) exceeds configured threshold (95.00%).
FKAMAROL,"C.DPS.MY.CCO.VSO.WIN.EVT / SHELL / Shell Deutschland Oil / omlmyppej01 / pejjbt-s-08012 - Services: ""Server"" is not running"
FKAMAROL,"C.DPS.MY.DCO.DSO.VSO-WIN-EVT / SHELL / Shell Deutschland Oil / omlmyppej01 / pejjbt-s-08012 - Services: ""WinAudit"" is not running"
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / kzamssos001 - onsec - failed logins for admin account: The description for Event ID ( 5 ) in Source ( HP Ethernet ) could not be found. It contains the following insertion string(s): An Ethernet team's redundancy status changed to Redundancy Lost. All members of an ...
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / mko0360a - Performance Agent processes not running correctly.
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / omldepmuc01 / eudmsdt04 - Network Collisions on the following adapters found: Intel(R) Gigabit 4P I350-t rNDC #4
FKAMAROL,C.DPS.MY.CCO.VSO.WIN.EVT / SHELL / Shell Deutschland Oil / dcpoml21597588 / ams1-s-06007 - Logical Disk Space C: is over 90% FULL or it has less than 4096 MB free. Free space GB is 4.040
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / omldepmuc01 / eudmsdt07 - Network Collisions on the following adapters found: Intel(R) Gigabit 4P I350-t rNDC #4
ASGOMEZ,C.EMEA.MY.KONE.WIN.EVT / KONE / KONE Corporation Finla / omldepmuc01 / eudmsdt03 - unknown eventlog event: ID 32 source: mpio message: Microsoft DSM failed to return a Path to \Device\MPIODisk0.
MALIMUDI,C.DPS.MY.CCO.SH.LUX.EVT / T-SYSTEMS INTERNATIONAL GMBH8108 (0000008108) / omldepmuc01 / bejdc1-n-b01002 - System was rebooted recently. (Uptime is <20 Minutes)
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / keamssos001 - Disk space utilization for Logical Disk M:
FKAMAROL,C.DPS.MY.DCO.DSO.VSO-WIN-EVT / SHELL / Shell Deutschland Oil / omlusphou01 / houcy1-s-06452 - Healthcheck Failure: The message flow is broken for the last 10 min from the following node(s): houcy1-s-06452
FKAMAROL,C.DPS.MY.DCO.DSO.VSO-WIN-EVT / SHELL / Shell Deutschland Oil / dcpoml21597588 / amsdc1-s-48081 - Error:;Site1_AMSDC1-S-48081 site SSL certificate valid until ;EventID;10017;ScriptVersion;1.5 [Shell IISCertExp]
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / mko0360a - Performance Agent processes not running correctly.
ASGOMEZ,C.EMEA.MY.KONE.WIN.EVT / KONE / KONE Corporation Finla / dcpoml20913481 / kqasos001 - Hardware Status: MINOR Computersystem - Degraded
ASGOMEZ,C.APAC.MY.WIN.EVT / ZUELLIG PHARMA ASIA PACIFIC (0018000925) / omlsgpsin01 / sgisgzolmal01 - Healthcheck Failure: The message flow is broken for the last 10 min from the following node(s): sgisgzolmal01
FKAMAROL,C.DPS.MY.DCO.DSO.VSO-WIN-EVT / SHELL / Shell Deutschland Oil / omldepfra35 / muntse-s-08349 - Healthcheck Failure: The message flow is broken for the last 10 min from the following node(s): am3hi096a
ASGOMEZ,"C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / dcpoml20913481 / kaimssos005 - MS eventlog alert:  Log name System - Source : Disk - event ID 7 - description: The device, \Device\Harddisk1\DR1, has a bad block."
ASGOMEZ,C.EMEA.SK.SOS.KONE / KONE / KONE Corporation Finla / omldepmuc01 / eudmssqlkrd447 - Network Collisions on the following adapters found: Intel(R) Gigabit 4P I350-t rNDC
